nid,title,,,projectshort,projectcity,projectstate,office,category,,projectowner,architect,,developer,developertitle,projecttestimonialtext,projectpersonname,projectpersontitle,projectpersoncompany,weight,descrip
75,8 Orchids Condominiums,,,New construction in Chinatown creatively designed to accommodate the nearby freeway.,Oakland,California,Sacramento,Mixed-Use,,Bay Rock Residential,HDO,,,,,,,,4,"This project was complicated by the need to maintain the configuration of the existing freeway off-ramp and surrounding streets, which required us to shore the entire multi-level subterranean basement perimeter before construction of the 11-story, 157-unit condominium building could begin. The structure is a patented structural steel Conex tower laid over a three-story, post-tensioned, concrete podium. Common areas included a 20-foot high entry lobby, lounge / community room, courtyards and rooftop garden. Street level retail areas complete this innovative building located in downtown Oakland's historic Chinatown."
76,Park Place at Regency Park Condominiums,,,A luxury condominium complex nestled between two city parks.,Sacramento,California,Sacramento,Multi-Family Housing,,US Home,"KTGY Group, Inc.",,,,,,,,9,"This high-end community located between two expansive city parks is comprised of seven three-story buildings of residential condominium units and a single-story neighborhood clubhouse. Each condominium residence includes large walk-in closets and a kitchen pantry, open floor plan living areas and attached direct-access garages. The clubhouse contains a community kitchen for group entertaining, an expanded theater space, game rooms, a gym and large pool and spa. The entire community is gated for security."
77,Livermore Valley Plaza,,,Three mixed-use buildings designed to blend with the city's Performing Arts Center.,Livermore,California,Sacramento,Mixed-Use,,Maroon Bear 2,MacCracken Architects,,,,,,,,5,"The construction of this mixed-use project consisted of two three-story and one two-story buildings totaling about 100,000 sf for offices, retail and restaurants. These structural steel / steel deck structures have extensive exterior articulation of brick veneer, plaster and custom sheet metal elements. The exterior also included courtyards and trellis work which were used to incorporate the plaza into the city's Performing Arts Center."
78,Casoleil at Spanish Springs,,,"This 55-building residential community was designed to be ""step-free"" and completely accessible.",Sparks,Nevada,Sacramento,Multi-Family Housing,,"Galleria Station, LLC","Otak Nevada, LLC",,,,,,,,9,"Specifically designed as a full-accessibility community, Casoleil's buildings were built in two phases comprising 54 two-story buildings with five individual residential units each and a single central community building that houses a great room, game room, dining room and kitchen, business and fitness centers, and a pool and spa with dedicated shower rooms. The condominiums come fully equipped with attached garages and luxury finishes including granite countertops, cultured stone entry ways and fireplaces and raised ceilings. The buildings themselves are wood-framed with Hardi-plank siding and tile roofs."
79,Boardwalk at Lakeside Condominiums,,,150-unit luxury condominium complex.,Elk Grove,California,Sacramento,Multi-Family Housing,,US Home,Humphreys & Partners Architects,,,,,,,,9,"This luxury gated condominium complex consists of 15 two-story buildings providing a total of 150 individual residential condominium units, 10 with directly attached garages. In addition, we constructed a single story clubhouse that includes community recreational space, an exercise facility, swimming pool and spa. Each unit is remarkably spacious and included the latest in finishes and amenities."
80,Oceanview Village,,,A mixed-use community incorporating retail and gracious residential living space.,San Francisco,California,Sacramento,Mixed-Use,,Emerald Fund,Christiani Johnson,,,,,,,,6,"This mixed-use project consisted of a two-story concrete podium structure for retail and five four-story apartment buildings totaling 370 units. Amenities for this area included fountains and raised planters for residential courtyards and private patios. The structure in front of the dwellings was built to contain numerous retailers in a true mixed-use blend. Additionally, the scope included a concrete parking garage. The foundations were built into an embankment adjacent to the freeway requiring shoring and shotcrete."
81,Fremont Mews,,,"A two-building, 119-unit multi-family housing complex on the former site of a popular community garden space.",Sacramento,California,Sacramento,Multi-Family Housing,,15th & Q Limited Partnership,Ankrom Moisan Associates Architects,,,,,,,,9,"This project consisted of the construction of a two-building, 119-unit multi-family housing complex on the former site of a popular community garden space. The three-story buildings were constructed over a concrete podium used for covered parking. The development was designed in the same style as Portland's Pearl District with flat roofs, colorful plaster walls, large windows, exposed framing and many balconies. A successful community relations campaign for the changed use of this site was a key element of the project."
82,Riverwood Grove Apartments,,,"This project consisted of five, three-story buildings totaling 80,069 sf for 71 apartments.",Santa Clara,California,Sacramento,Multi-Family Housing,,Mid-Peninsula Housing Coalition,Berger/Detmer Architects,,,,,,,,8,"This project consisted of construction of five three-story buildings totaling 80,069 sf for 71 one-, two-, three- and four- bedroom apartments. The buildings were constructed with wood framing, stucco exteriors and a combination of three types of roofing. One building is located over a concrete parking basement for 40 vehicles. The project also included all finishes, amenities and landscaping."
83,County Systems and Data Processing Building,,,An eight-story hub for Sacramento County's information systems.,Sacramento,California,Sacramento,Office,,County of Sacramento,Ehrlich-Rominger,,,,,,,,9,"Because the county contracted for an eight-story 145,000 sf building above a basement large enough to build a laboratory, the site required dewatering as well as shoring and underpinning of adjacent buildings. The structure incorporated steel frame with precast concrete panels, brick terra cotta tiles and limestone. An extensive build-out of telecommunication networking and UPS power systems for this hub of county informational systems was also put in place."
84,Sherwood Apartments,,,A luxury apartment complex with designer finishes and community fitness and entertainment areas.,Folsom,California,Sacramento,Multi-Family Housing,,Elliott Homes,"Meyer Architecture & Planning, Inc.",,,,,,,,7,"This 336-unit luxury community features something for everyone. With five distinct floor plans and a combination of single-level apartments and dual-level townhomes, it's the finishing touches that separate this project from the rest. Each apartment includes custom-tiled entryways, maple cabinets and custom shelving in the oversized closets -  the larger units also feature vaulted ceilings, a gas fireplace and attached garage. Enhancing the livability of this gated complex are an executive business center with meeting rooms, children's play areas, two swimming pools with saunas, lighted basketball courts and two 24-hour state-of-the-art fitness centers for the residents."
85,Riverwood Place Apartments,,,Studio living with a community feel.,Santa Clara,California,Sacramento,Multi-Family Housing,,Mid-Peninsula Housing Coalition,Berger/Detmer Architects,,,,,,,,4,"This 148-unit apartment complex was built with community in mind. Comprised almost entirely of studio apartments ranging in size from 300 to 500 sf each, the design for this complex also included a variety of common areas for the residents to enjoy, including a multi-use community center, fitness facilities, second-level landscaped courtyards and communal kitchen areas for entertaining. The building itself is wood-framed and stucco clad and features three different types of roofing as well as a 100+ space underground parking garage."
86,UC Davis Oak Park Research Center,,,The center is a medical research hub for nine institutions across the U.S.,Sacramento,California,Sacramento,Medical and Healthcare,,Stockton Boulevard Partners,A.C. Martin Partners,,,,,,,,6,"This project included the construction of a 40,000 sf, two-story, steel frame medical research center above one level of subterranean parking. The center is a hub for over 100 investigators at nine institutions across the U.S. involved in the study of light in biology and medicine. The scope included lab casework, fume hoods, medical gas piping and a structural steel framework to meet stringent structural vibration requirements."
87,El Dorado Hills Sports Club,,,"This two-story 39,000 sf fitness facility comes with all the bells and whistles.",El Dorado Hills,California,Sacramento,Sports and Recreation,,"Spare Time, Inc.",Williams + Paddon Architects,,,,,,,,5,"This two-story fitness facility and day spa construction consisted of a combination of tilt-up and wood framing. The 39,000 sf clubhouse included a full court gymnasium, 10,000 sf fitness center, spacious group exercise room, dedicated Pilates studio, 22-bike group cycling studio, martial arts school, comfortable lounge and cafe, children's play center and luxurious locker rooms complete with steam room and sauna. Outside features included an aquatics complex including a six-lane 25-yard lap pool and a family pool with four lap lanes. The large spa area included massage rooms and manicure/pedicure stations."
88,Channing Bowditch Student Housing,,,"Construction of a four-story, 72,000 sf dormitory for undergraduate students attending the University.",Berkeley,California,Sacramento,Multi-Family Housing,,University of California-Berkeley,"Pyatok Architects, Inc.",,,,,,,,3,"Undertaken on a small site on a busy street while the buildings bordering construction remained open, the project included the demolition of existing offices and construction of a four-story, 72,000 sf dormitory for undergraduate students attending the University. The building exterior is a combination of Berkeley Shakertown wood shingles, plaster and cementious board siding with extensive ornamental wood trim. The suite-style dormitory rooms have common kitchens each with dining, living room and bath area."
89,Ironhorse Trail Apartments,,,A Mediterranean-style community with all the modern conveniences.,Dublin,California,Sacramento,Multi-Family Housing,,Archstone Communities Trust,Burke Architecture and Planning,,,,,,,,9,"Located on an eight-acre site, this beautifully designed apartment complex consists of 177 residential units, 141 discrete garages plus additional carports, and a recreation center. The variety of apartment floor plans all feature large gourmet kitchens with gas appliances, spacious walk-in closets, built-in computer niches and bookshelves, and private patios. The nine apartment buildings are constructed above below-grade garages with wood framing, a Mediterranean-inspired stucco exterior and composition roofing. The community recreation center contains a full business center, fitness center, theater and heated resort style pool and spa."
90,Grizzly Creek Camp,,,This retreat and conference center was expressly designed as a camp for special needs children.,Portola,California,Sacramento,Sports and Recreation,,Sierra Health Foundation,Ward Young,,,,,,,,9,"This sophisticated yet rustic camp for special needs children included a lodge / dining facility with a professional kitchen, administration, health center, cabins, activity lodges and amphitheater. The site also accommodated an Olympic size pool and various activity courts and fields. The main buildings are reached by a mile-long asphalt entrance road. Designed to meet the needs of up to 120 campers at a time, the infrastructure included a sewage treatment facility, inter-camp paths and site water service, including a storage tank. The facility also operates as a retreat and conference center in the off season."
91,Rose Hotel,,,A hotel and entertainment facility fashioned by a professional football legend.,Pleasanton,California,Sacramento,Hospitality,,"Cardinal Bear, Inc.",ATI Architects & Engineers,,,,,,,,9,"This one of a kind hotel was crafted to achieve the dream of ex-football player John Madden by creating a space to entertain his friends as well as the public. First, an existing building was demolished and a 36,000 sf hotel consisting of three-stories with 38 suites was built over covered parking. The hotel was constructed of structural steel frame with metal stud, plaster exterior walls, slate mansard and foam roofing. The scope also included all cherry wood paneling, column wraps, marble floors and crown moldings."
92,Midtown Plaza,,,Building in downtown San Jose required considerable planning to accommodate staging constraints.,San Jose,California,Sacramento,Multi-Family Housing,,KB Home,KTGY,,,,,,,,1,"This project consisted of the construction of 257 high-end condominium units with a community building, fitness center, pool and spa. The buildings are four-story wood framed construction over a concrete podium which was used for covering parking. The site in downtown San Jose comprised an entire city block requiring considerable offsite flatwork, underground utilities and traffic control redesign."
93,Niello Volkswagen,,,"This project included a two-story addition of steel, wood frame, stucco exterior and an aluminum storefront.",Sacramento,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Hansen/Murakami/Eshima,,,,,,,,9,"This project included construction of a two-story, 2,600 sf addition with structural steel and wood frame, stucco exterior and a new aluminum storefront. Additionally, we remodeled the 5,500 sf showroom. During construction, temporary facilities for restrooms, the parts counter, waiting lounges and offices were provided, minimizing the amount of time operations were interrupted. The construction schedule was coordinated with the owner's managers to best fit their needs and priorities. The work was phased to add a new Service Write-up area first so that there were no interruptions during the remodel."
94,Niello Audi,,,Construction of a new automobile showroom for the Sacramento's largest Audi dealership.,Sacramento,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Murakami/Nelson,,,,,,,,7,"This project for the city's largest Audi retailer included asbestos abatement during the demolition of two structures and construction of a new 35,000 sf automobile showroom with a full service area. The building exterior was a combination of aluminum storefront with clerestory windows, composite metal panels, exposed structural steel and a dramatically curved metal roof. Site work included innovative auto display areas for both new and previously owned automobiles."
95,Sacramento Traffic and Small Claims Court,,,"This four-story, design / build court building measured 105,000 sf.",Sacramento,California,Sacramento,Office,,"Courthouse Investors, CA Corp.",The Spink Corp.,,,,,,,,1,"This four-story, design / build project measured 105,000 sf. The shell was comprised of concrete and steel and the exterior skin was white precast concrete with glass curtain walls and fixed glazing. The building included state-of-the-art thermal energy and ice storage systems. It also included extensive detailed millwork in the courtrooms and judge's chambers."
96,Rocklin Land Rover,,,"This project consisted of construction of a 12,000 sf masonry, wood and steel framed dealership.",Rocklin,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Hansen/Murakami/Eshima,,,,,,,,9,"This project consisted of construction of a 12,000 sf masonry, wood and steel framed dealership with a showroom, repair facilities and all associated sitework."
97,Niello Porsche,,,"Construction of this 26,000 sf auto dealership included a showroom and a service facility with mezzanine.",Rocklin,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Murakami/Nelson,,,,,,,,5,"Construction of this 26,000 sf auto dealership included a showroom and a service facility with an 8,000 sf mezzanine. The building exterior is concrete masonry and aluminum composite panels."
98,B.T. Collins Juvenile Justice Center,,,A high-security wall system moves prisoners from the sally port to the holding cells and courtrooms.,Sacramento,California,Sacramento,Office,,County of Sacramento,DLR Vitiello,,,,,,,,4,"This juvenile courthouse and visitor's center consisted of an 82,000 sf three-story steel framed building with architectural pre-cast walls and metal panels. A sophisticated curved aluminum window wrap and sunscreen system was used for temperature control. The building houses eight courtrooms tied together with a high-security ""structacore"" wall system used to move prisoners from the sally port to the holding cells and courtrooms."
100,Niello BMW,,,"A new five-acre BMW dealership, complete with showroom and service facility.",Elk Grove,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Murakami/Nelson,,,,,,,,1,"This was the construction of a new 43,600 sf auto dealership with showroom, service facility and an 8,400 sf mezzanine on a 5.68 acre site. The building exterior was a combination of aluminum storefront curtain wall with sunshades and aluminum composite panels. The roof was framed with structural steel and metal decking. The entire 29-bay service area utilized a proprietary brick klinkertile flooring imported from Germany."
101,Future Ford / Nissan,,,"Two separate dealership facilities with showrooms, offices and service facilities totaling 80,000 sf.",Roseville,California,Sacramento,Auto Dealerships,,Steve Pleau,Marca Architecture Group,,,,,,,,6,"These two busy automobile dealerships were built on neighboring lots and include auto showrooms, offices and a complete service facility for each. The Ford dealership totals 45,000 sf, slightly larger than the 35,000 sf Nissan facility -  each contains curved glass curtain wall system, structural steel frame and massive concrete fascia grid systems."
102,Chilled Water Replacement  Porterville Developmental Center,,,Design and installation of a cooling system for a developmentally disabled care facility.,Porterville,California,Sacramento,High-Tech and Industrial,,State of California,,,,,,,,,6,"This was the design and installation of a new 2,400 ton capacity chilled water cooling system for an existing state-run center which provides care and service to the developmentally disabled. The work included installation of new chillers and cooling towers, electrical switchgear and transformers and underground piping connections to 34 buildings. Other elements included the build out of a new computerized control system for the entire campus."
103,Raley Field,,,"This 11,100 seat stadium includes many high-end amenities unusual for a AAA ball club.",West Sacramento,California,Sacramento,Sports and Recreation,,River City Stadium Management,HNTB Architects,,,,,,,,7,"This 11,100 seat open-air stadium for a AAA baseball team was constructed in only eight months allowing it to be ready to go for the first home game of the River Cats season. Situated to give fans a view of Tower Bridge over the Sacramento River, it included many high-end amenities unusual for this class of ball club, including 37 luxury suites, 450 club seats, a private membership club and an electronic Videotron scoreboard as well as concert facilities."
105,Chilled Water System Upgrade at Sonoma Developmental Center,,,"Water system upgrade for a 1,000 acre campus at the Sonoma Developmental Center.",Sonoma,California,Sacramento,High-Tech and Industrial,,State of California,,,,,,,,,9,"Designed and installed for a 1,000 acre campus comprising residential campground, cafeteria, post office, petting farm, sports fields, swimming pool, plant nursery and picnic areas, this facility badly needed a complete upgrade. The work consisted of the removal of five existing chillers and associated cooling towers and piping, and the addition of two new chillers and high velocity cooling towers with a total capacity of 2,850 tons. The work also included the replacement of existing chilled water valves and fan coils."
106,Capitol Building - South Portico Repairs,,,Repair and restoration of the 125-year-old California State Capitol Building.,Sacramento,California,Sacramento,Historical Renovations,,State of California,"Carey & Co., Inc.",,,,,,,,3,"The repair and replacement of portions of the historic 125-year-old California state capitol were necessitated by the damage done when an 18-wheel truck was purposely crashed into the front of this building. The project required repair of the granite exterior, several rooms, including the Senate Chamber, and the majority of the basement. The work included hand-shaped granite, custom decorative plaster and special painting. To match the existing stonework, granite was found at Folsom Prison and sent to Minnesota for fabrication before it was returned for installation."
107,Niello Mini,,,This Mini dealership was constructed without disrupting neighboring businesses.,Sacramento,California,Sacramento,Auto Dealerships,,"Niello Investments, LLC",Hansen/Murakami/Eshima,,,,,,,,9,"There is nothing miniature about this single story 3,800 sf automobile dealership located in Sacramento. The sales showroom, offices and service area consist of structural steel frame with a wood framed roof structure and aluminum storefront and composite panel siding. Additionally, we completed the building construction and all the related sitework without disrupting operations at the adjacent BMW Dealership."
108,Woodland Opera House,,,Restoration and structural upgrade of the historic 100-year-old Woodland Opera House.,Woodland,California,Sacramento,Theater and Entertainment,,State of California,Office of the State Architect,,Wirth & Long,Architect,,,,,10,"The restoration and addition to Woodland Opera House was undertaken to protect the beautiful brick building which was originally built in 1895 without footings and was completely unreinforced. Elements of the restoration included extensive digging, forming and pouring of concrete foundations as well as reframing floors with heavy timbers. The 35-foot exterior walls were chased, reinforced and decorated with new shotcrete pilasters and columns."
109,Museum of Railroad History Exhibits-Phase II,,,Beautifully designed interior exhibits for one of the top railroad museums in the country.,Sacramento,California,Sacramento,Theater and Entertainment,,State of California,Office of the State Architect,,,,,,,,10,"We pulled out all the stops in completing the interior exhibits for one of the top railroad museums in the country. Located near the western terminus of the original transcontinental railway, the Museum houses 21 locomotives and railroad cars in 46 exhibits. Our construction team sought input from a variety of diverse consultants, including a nationally known museum architect from New York City and the firm which designed and built Disneyland's Matterhorn rollercoaster. One of the specifications required a field trip into the Sierra Madre mountain range to take pictures of the landscape and mold rocks to match the photos for one of the dioramas."
110,Siemens-Duewag Manufacturing Facility,,,"The complete project included a 124,040 sf manufacturing facility with an attached office.",Sacramento,California,Sacramento,High-Tech and Industrial,,Siemens-Duewag Corp.,The Spink Corp.,,,,,,,,7,"Starting with construction of a 124,040 sf office and manufacturing facility for the assembly of light rail vehicles, the complete project included a 95,000 sf prefabricated metal building shop with rail lines, work pits and overhead cranes. In addition, there was a two-story attached office building, on-site underground infrastructure, structural exterior concrete aprons, new rail spur lines and power catenary systems."
111,University Village at Albany - Step 2,,,This four-year project resulted in 29 buildings housing 500+ student units and associated communal spaces.,Albany,California,Sacramento,Multi-Family Housing,,"University of California, Berkeley",Christiani Johnson Architects,,,,I was a member of the design-build teams that created two highly successful phases of University Village at Albany. I witnessed first hand how your team effectively negotiated the complex process.,Sam Davis,Dean,"University of California, Berkeley",5,"This schedule for this four and a half year project began with the demolition of existing student family housing with extensive removal of hazardous materials. A total of 558 new two- and three-bedroom student housing units, associated laundry rooms and mailrooms were distributed through 29 three-story buildings. The 22 acres of sitework included complete design and construction of infrastructure, pavement and landscape. A special consideration was the requirement that 100% of storm water runoff be filtered before emission into adjacent creeks. This was accomplished with extensive use of planted bioswales."
112,Eastside Subaru,,,Extensive remodel conducted while the dealership remained open for business.,Kirkland,Washington,Seattle,Auto Dealerships,,Whitehead Enterprises,Anderson Boone Architects,,,,,,,,3,"We converted a 25,000 sf dealership into a modern facility to meet the needs of both customers and employees while complying with new design standards.  The exterior received a facelift with the installation of Alucabond Cladding Panels, new energy efficient storefront doors and windows, stucco, fresh paint, landscaping and service entrance. We renovated the inside to create a new showroom complete with reception space, customer lounge, children's area and retail space, plus new offices, meeting rooms and storage areas.  Finally, a high-efficiency HVAC roof-top unit was added as well as energy saving lighting throughout the building."
113,Benson High School Facility Improvement,,,"Facelift and seismic upgrade, in addition to an update of the roofing and plumbing at Benson High.",Portland,Oregon,Portland,Historical Renovations,,Multnomah County School District 1J,"Crow/Clay & Associates, Inc.",,Cornerstone Const. Mgmt. Inc.,Construction Mgr.,"I could not have been more pleased with the quality of the work and professionalism of S.D. Deacon. The project managers and supervisors organized, synchronized and executed the work flawlessly.",Christie Plinski,Principal,Benson High School,8,"All of the work on this historic school building had to be completed during the three months school was in recess over the summer. The work included re-roofing, painting, woodwork restoration and a new hot and cold water piping system. 
Perhaps the most challenging part of the work involved the seismic upgrade to the 30-foot tall columns at the front entrance.  We had to core drill down through the columns and install rods that were anchored into the foundation and then tensioned to a new cap beam placed at the top of the columns."
114,Christie Hall at University of Portland,,,Special care was taken to install seismic upgrades during renovation of this 1911 dormitory building.,Portland,Oregon,Portland,Education and Libraries,,University of Portland,Soderstrom Architects,,,,,,,,8,"Constructed in 1911, this 122-room historic dormitory building was renovated on an accelerated schedule to be completed during the three month summer recess. The project included a rebuilt steam heating system, new plumbing, windows and exterior doors, a resealed brick facade, new interior finishes and a new chapel. Extensive dryrot was discovered which had to be repaired while the rest of the work proceeded. When it was discovered that traditional methods would damage the old mortar, we developed a method that involved a special drilling process with epoxy anchored straps to seismically upgrade the brick walls."
115,Merchant Hotel Renovation,,,Renovation of an open-air office in Portland's distinctive Old Town district.,Portland,Oregon,Portland,Historical Renovations,,Bill Naito Company,"Soderstrom Architects, P.C.",,,,,,,,7,"The charm of this open-air office space in Old Town Portland was retained by refinishing wood floors, wainscoting and window systems while creating new ADA compliant restrooms and egress pathways. The coordination of design and construction allowed usage of the existing HVAC system, reducing costs and maintaining environmental quality."
116,ISITE Design at Fleischner Building,,,Modernization of an Old Town building while keeping its charm and eclectic style.,Portland,Oregon,Portland,Office,,Bill Naito Company,MCA Architects,,,,,,,,6,This beautiful project highlights the benefits of active collaboration between the architect and contractor in its special result at the Fleischner Building in Old Town Portland. Unique ceiling and floor finishes were selected to modernize the space while preserving the Old Town feel with exposed brick and natural light flowing through skylights and double hung windows. New data and wiring systems were installed for modern day office use.
117,GreenWorks Design at Captain Couch Building,,,Transformation of a dark and long-vacant space into a well lit and fully functional office.,Portland,Oregon,Portland,Historical Renovations,,Bill Naito Company,"Soderstrom Architects, P.C.",,,,,,,,10,"Located in the historic Captain Couch Building in Old Town Portland, this project transformed an old, dark and long-vacant space into a well lit and fully-functional office expansion. The project actually spans two separate buildings, utilizing a seismically reinforced opening and special ramping and railings to adjoin the different floor elevations. Custom casework and sustainable finishes completed the space - all while the tenant remained open for business."
118,Sound Ford Renovation,,,"Extensive facelift of a 16,000 sf Ford auto dealership.",Renton,Washington,Seattle,Auto Dealerships,,S&K Motors,Anderson Boone Architects,,,,,,,,4,"The facelift of this 16,000 sf building began with the demolition of the front of the store, sales floor, and sales offices, which were then rebuilt to Ford Motor Co. specifications. The building exterior was encased by an Alucabond composite siding system over the new facade -  existing surfaces were repainted. Inside the new showroom, we completed construction of a new stairwell as well as refinishing all areas of the building."
119,Nissan of the Eastside,,,"New construction of an auto dealership and parking structure totaling over 70,000 sf.",Bellevue,Washington,Seattle,Auto Dealerships,,South Heights LLC,AndersonBoone Architects,,,,S.D. Deacon delivered an extremely beautiful finished product and did it on schedule despite the obstacles encountered along the way.,Dennis Boone,President,"Anderson & Boone Architects AIA, P.S.",2,"Completed in a record six months despite stormy winter weather and a rigorous inspection schedule, the scope of work for construction of this new car dealership consisted of a 15,600 sf two story office building comprised of concrete, steel and curtain wall with ACM exterior panels with vertical and horizontal siding. The interior finishes included ceramic tile, carpet flooring, and both wood paneling and painted walls. Aluminum windows and storefronts completed the building structure. Additionally, we also built a 56,000 sf two store concrete parking garage utilizing post-tension construction."
120,First AME Child and Family Center,,,Transformation of an auto repair shop into a child development facility.,Seattle,Washington,Seattle,Education and Libraries,,First AME Church,DKA,,,,,,,,6,"We created an environmentally safe 3,850 sf Head Start program facility by renovating and expanding a former auto repair shop. The finished product included classrooms, office space, storage and a complete kitchen as well as a play area and site improvements. In the end, new siding and other exterior finishes gave the building a completely new look. Because funding for the project was secured from several public and private sources, we adapted our accounting processes to accommodate the requirements of the various financing entities. We also value engineered diverse components of the project to bring the final contract value within the available budget."
121,Boston's Pizza,,,"A 6,000 sf building constructed with a kitchen, two ornately tiled eating areas and a sports bar.",Multiple Locations,,Seattle,Food Service,,RGH Group,CamargoCopeland,,,,,,,,7,"One of many Boston's Pizza restaurants built by S.D. Deacon, the team in Mill Creek met strict design and environmental standards by working in design / build mode to keep to the fast-track schedule. Constant communication with the project team allowed us to overcome multiple challenges. The 6,000 sf building includes a full-service kitchen, two interior dining areas and a separate sports bar. Outside, a 1,200 sf dining patio features a stained concrete floor and overhead trellis supported by stone planters and an ornamental fence. The building's exterior incorporates corner and entry towers, glass elements, metal canopies, EIFS finish and hardscape treatments."
122,BigFoot Java,,,"S.D. Deacon has built six of these two-lane, drive-through espresso stands.",Six Locations,Washington,Seattle,Food Service,,BigFoot Investment Group,Linardic Design Group,,,,,,,,9,"S.D. Deacon has built six of these two-lane, drive-through espresso stands for this client. Each was between 450 to 650 sf and usually located in the middle of existing retail parking lots entailing safety and scheduling considerations during business hours. The buildings were constructed with slab-on-grade concrete floors below a wood frame building. Steel moment frames and awnings were wrapped with true cedar siding and slate waistcoat accents. The interiors all included a 300 sf attic space housing office and storage area. The main floors included full ADA restrooms, water filtration systems and complete cabinet packages. Despite the high level of detail and craftsman-style finishes, each of the buildings were built in 60 days or less.
These were negotiated contracts."
123,Top Food and Drug,,,"Remodels and upgrades to Haggen's high-end, full service grocery stores totaling 200,000 sf.",Multiple Locations,,Seattle,Grocery,,"Haggen, Inc.","Planmark, Inc.",,,,,,,,7,"We have completed interior and exterior remodels of four of Haggen's Top Food & Drug supermarkets valued at more than $11M and 200,000 sf of retail space. Each store features a stand-alone cafe, coffee shop, full service deli and bakery and extensive wine departments, as well as distinctive timber-framed entries and clear fir trim detailing throughout the interiors.  Because the stores remained open for business during for the duration of the projects, the demolition and construction of each department was phased in coordination with the needs of store management with any work that might have been disruptive scheduled during off hours."
124,USF Reddaway Freight Transfer Station,,,"42,000 sf expansion of an existing freight transfer station while the station remained open for business.",Kent,Washington,Seattle,High-Tech and Industrial,,YRC Enterprises,Cornerstone Architects,,,,,,,,4,"This 42,000 sf expansion of an existing freight transfer station consisted of a 15,000 sf raised loading dock with 40 doors, a forklift ramp, and a pneumatic tube delivery system connecting the dock to the front office. The addition was painted to match the original building. New site lighting, extensive concrete aprons and asphalt / striping work to finish the site. Our biggest challenge was ensuring that the owner continued normal business operations while we executed our own tight construction schedule, a feat made possible through ongoing communication with the onsite Operations Manager and the owner's representative in Ohio."
125,DirecTV Uplink Stations,,,Two stations were rebuilt from existing structures while we supervised the installation of satellite dishes.,Multiple Locations,,Seattle,High-Tech and Industrial,,"DirecTV, Inc.",Lawson & Associates,,,,,,,,5,"Completed simultaneously, these two uplink stations were rebuilt from existing structures and totaled 44,000 sf. Each has an MER with electrical racks, a Telco room with telephone, LAN and data uplinks. Additionally, we supervised installation of the satellite dishes and amp/3p systems that power them. Both facilities have redundant systems in case of power failure so if one goes down the other will be able to pick up broadcasting without customer service interruption. Our initial success led the owner RenovationMetro.com to have us add new antennas and pads, all associated electrical tie-ins and a 20,000 sf parking lot to each site within the year."
126,Extended Stay America,,,"This project consisted of construction of a five story, 148-room hotel.",Bellevue,Washington,Seattle,Hospitality,,"ESA Management, Inc.",LPN Architects,,,,,,,,6,"Construction of this five story hotel required special care due to site limitations. Situated between the freeway and a six-acre wetland, we had a relatively small two acres to work within. Additionally, preservation of the wetland area required extensive erosion control efforts for ecological preservation. Temporary storm water retention ponds were utilized until a permanent 13-ft deep by 187-ft long vault could be installed. The steel building with metal framing and an EIFS exterior was successfully completed on time due to the ingenuity of our team and a good working relationship with the municipality."
127,Comfort Suites,,,"Construction of this 180,000 sf, four-story, wood framed hotel included 158-units.",Seattle,Washington,Seattle,Hospitality,,"EPC Holdings IX, LLC",Johnson Reid Associates,,,,,,,,3,"This 180,000 sf four-story wood framed hotel consists of 158 hotel rooms, an exercise room, dining area for their continental breakfast patrons and an interior courtyard. Located directly across from the Seattle Center, the project also included a two-story 44,000 sf below-grade parking garage with 144 parking spaces. The large tiered water fountain in the entry courtyard provides a transition from the busy public street to a more tranquil setting for the clientele."
128,RadiantCare Radiation Oncology Facility,,,"This project included a linear accelerator facility along with exam rooms, nurse stations and treatment areas.",Aberdeen,Washington,Seattle,Medical and Healthcare,,"Grays Harbor Properties, LLC",Jon R. Jurgens & Associates,,,,I really appreciate the S.D. Deacon team and the company's philosophy. I think they are giving us the absolute best product and they take a lot of pride in making us happy. They are true professionals and I am privileged to work with them.,Lani Fullerton,Practice Administrator,RadiantCare,9,"This cancer treatment center utilizes a linear accelerator to destabilize cell mitochondria and destroy cancer / tumor cell growth. Installation of this highly specialized piece of equipment required a high level of attention to detail. Three- to five-foot thick concrete walls ensure the safety of the technicians while the equipment is in use. Additionally we built exam rooms, nurse stations and primary treatment areas. To give the facility a feel of warmth and comfort, materials such as hardiboard siding, masonry accents, and other residential finishes were used alongside a palate of pleasant paint colors."
